,0,1,2,3,4,5,6,7,8,9,10,11,12
0,187.63158,181.57895,187.63158,181.57895,187.63158,177.88329,161.69565,142.0,156.0,200.18644,180.81356,173.5,189.33079
1,189.33079,187.63158,181.57895,187.63158,181.57895,187.63158,177.88329,161.69565,142.0,156.0,200.18644,180.81356,178.98925
2,178.98925,189.33079,187.63158,181.57895,187.63158,181.57895,187.63158,177.88329,161.69565,142.0,156.0,200.18644,198.16667
3,198.16667,178.98925,189.33079,187.63158,181.57895,187.63158,181.57895,187.63158,177.88329,161.69565,142.0,156.0,191.7742
4,191.7742,198.16667,178.98925,189.33079,187.63158,181.57895,187.63158,181.57895,187.63158,177.88329,161.69565,142.0,198.16667
5,198.16667,191.7742,198.16667,178.98925,189.33079,187.63158,181.57895,187.63158,181.57895,187.63158,177.88329,161.69565,191.7742
6,191.7742,198.16667,191.7742,198.16667,178.98925,189.33079,187.63158,181.57895,187.63158,181.57895,187.63158,177.88329,198.16667
7,198.16667,191.7742,198.16667,191.7742,198.16667,178.98925,189.33079,187.63158,181.57895,187.63158,181.57895,187.63158,226.0
8,226.0,198.16667,191.7742,198.16667,191.7742,198.16667,178.98925,189.33079,187.63158,181.57895,187.63158,181.57895,181.46429
9,181.46429,226.0,198.16667,191.7742,198.16667,191.7742,198.16667,178.98925,189.33079,187.63158,181.57895,187.63158,192.27381000000003
10,192.27381000000003,181.46429,226.0,198.16667,191.7742,198.16667,191.7742,198.16667,178.98925,189.33079,187.63158,181.57895,200.2619
11,200.2619,192.27381000000003,181.46429,226.0,198.16667,191.7742,198.16667,191.7742,198.16667,178.98925,189.33079,187.63158,315.0
12,315.0,200.2619,192.27381000000003,181.46429,226.0,198.16667,191.7742,198.16667,191.7742,198.16667,178.98925,189.33079,316.0
13,316.0,315.0,200.2619,192.27381000000003,181.46429,226.0,198.16667,191.7742,198.16667,191.7742,198.16667,178.98925,295.0
14,295.0,316.0,315.0,200.2619,192.27381000000003,181.46429,226.0,198.16667,191.7742,198.16667,191.7742,198.16667,273.0
15,273.0,295.0,316.0,315.0,200.2619,192.27381000000003,181.46429,226.0,198.16667,191.7742,198.16667,191.7742,102.0
16,102.0,273.0,295.0,316.0,315.0,200.2619,192.27381000000003,181.46429,226.0,198.16667,191.7742,198.16667,127.0
17,127.0,102.0,273.0,295.0,316.0,315.0,200.2619,192.27381000000003,181.46429,226.0,198.16667,191.7742,218.0
18,218.0,127.0,102.0,273.0,295.0,316.0,315.0,200.2619,192.27381000000003,181.46429,226.0,198.16667,224.0
19,224.0,218.0,127.0,102.0,273.0,295.0,316.0,315.0,200.2619,192.27381000000003,181.46429,226.0,218.0
20,218.0,224.0,218.0,127.0,102.0,273.0,295.0,316.0,315.0,200.2619,192.27381000000003,181.46429,193.0
21,193.0,218.0,224.0,218.0,127.0,102.0,273.0,295.0,316.0,315.0,200.2619,192.27381000000003,182.0
22,182.0,193.0,218.0,224.0,218.0,127.0,102.0,273.0,295.0,316.0,315.0,200.2619,193.0
23,193.0,182.0,193.0,218.0,224.0,218.0,127.0,102.0,273.0,295.0,316.0,315.0,282.0
24,282.0,193.0,182.0,193.0,218.0,224.0,218.0,127.0,102.0,273.0,295.0,316.0,248.0
25,248.0,282.0,193.0,182.0,193.0,218.0,224.0,218.0,127.0,102.0,273.0,295.0,222.0
26,222.0,248.0,282.0,193.0,182.0,193.0,218.0,224.0,218.0,127.0,102.0,273.0,196.0
27,196.0,222.0,248.0,282.0,193.0,182.0,193.0,218.0,224.0,218.0,127.0,102.0,173.0
28,173.0,196.0,222.0,248.0,282.0,193.0,182.0,193.0,218.0,224.0,218.0,127.0,179.0
29,179.0,173.0,196.0,222.0,248.0,282.0,193.0,182.0,193.0,218.0,224.0,218.0,203.0
30,203.0,179.0,173.0,196.0,222.0,248.0,282.0,193.0,182.0,193.0,218.0,224.0,222.0
31,222.0,203.0,179.0,173.0,196.0,222.0,248.0,282.0,193.0,182.0,193.0,218.0,230.0
32,230.0,222.0,203.0,179.0,173.0,196.0,222.0,248.0,282.0,193.0,182.0,193.0,188.0
33,188.0,230.0,222.0,203.0,179.0,173.0,196.0,222.0,248.0,282.0,193.0,182.0,162.0
34,162.0,188.0,230.0,222.0,203.0,179.0,173.0,196.0,222.0,248.0,282.0,193.0,211.0
35,211.0,162.0,188.0,230.0,222.0,203.0,179.0,173.0,196.0,222.0,248.0,282.0,281.0
36,281.0,211.0,162.0,188.0,230.0,222.0,203.0,179.0,173.0,196.0,222.0,248.0,221.0
37,221.0,281.0,211.0,162.0,188.0,230.0,222.0,203.0,179.0,173.0,196.0,222.0,205.0
38,205.0,221.0,281.0,211.0,162.0,188.0,230.0,222.0,203.0,179.0,173.0,196.0,207.0
39,207.0,205.0,221.0,281.0,211.0,162.0,188.0,230.0,222.0,203.0,179.0,173.0,172.0
40,172.0,207.0,205.0,221.0,281.0,211.0,162.0,188.0,230.0,222.0,203.0,179.0,177.0
41,177.0,172.0,207.0,205.0,221.0,281.0,211.0,162.0,188.0,230.0,222.0,203.0,181.0
42,181.0,177.0,172.0,207.0,205.0,221.0,281.0,211.0,162.0,188.0,230.0,222.0,221.0
43,221.0,181.0,177.0,172.0,207.0,205.0,221.0,281.0,211.0,162.0,188.0,230.0,199.0
44,199.0,221.0,181.0,177.0,172.0,207.0,205.0,221.0,281.0,211.0,162.0,188.0,173.0
45,173.0,199.0,221.0,181.0,177.0,172.0,207.0,205.0,221.0,281.0,211.0,162.0,182.0
46,182.0,173.0,199.0,221.0,181.0,177.0,172.0,207.0,205.0,221.0,281.0,211.0,213.0
