,0,1,2,3,4,5,6,7,8,9,10,11,12
0,22.0,8.0,220.0,244.0,286.0,270.0,235.0,46.0,16.0,9.0,7.0,20.0,8.0
1,8.0,22.0,8.0,220.0,244.0,286.0,270.0,235.0,46.0,16.0,9.0,7.0,9.0
2,9.0,8.0,22.0,8.0,220.0,244.0,286.0,270.0,235.0,46.0,16.0,9.0,11.0
3,11.0,9.0,8.0,22.0,8.0,220.0,244.0,286.0,270.0,235.0,46.0,16.0,33.0
4,33.0,11.0,9.0,8.0,22.0,8.0,220.0,244.0,286.0,270.0,235.0,46.0,48.0
5,48.0,33.0,11.0,9.0,8.0,22.0,8.0,220.0,244.0,286.0,270.0,235.0,147.0
6,147.0,48.0,33.0,11.0,9.0,8.0,22.0,8.0,220.0,244.0,286.0,270.0,315.0
7,315.0,147.0,48.0,33.0,11.0,9.0,8.0,22.0,8.0,220.0,244.0,286.0,280.0
8,280.0,315.0,147.0,48.0,33.0,11.0,9.0,8.0,22.0,8.0,220.0,244.0,301.63794
9,301.63794,280.0,315.0,147.0,48.0,33.0,11.0,9.0,8.0,22.0,8.0,220.0,323.36206000000004
10,323.36206000000004,301.63794,280.0,315.0,147.0,48.0,33.0,11.0,9.0,8.0,22.0,8.0,340.0
11,340.0,323.36206000000004,301.63794,280.0,315.0,147.0,48.0,33.0,11.0,9.0,8.0,22.0,71.0
12,71.0,340.0,323.36206000000004,301.63794,280.0,315.0,147.0,48.0,33.0,11.0,9.0,8.0,52.0
13,52.0,71.0,340.0,323.36206000000004,301.63794,280.0,315.0,147.0,48.0,33.0,11.0,9.0,22.0
14,22.0,52.0,71.0,340.0,323.36206000000004,301.63794,280.0,315.0,147.0,48.0,33.0,11.0,31.0
15,31.0,22.0,52.0,71.0,340.0,323.36206000000004,301.63794,280.0,315.0,147.0,48.0,33.0,56.0
16,56.0,31.0,22.0,52.0,71.0,340.0,323.36206000000004,301.63794,280.0,315.0,147.0,48.0,171.0
17,171.0,56.0,31.0,22.0,52.0,71.0,340.0,323.36206000000004,301.63794,280.0,315.0,147.0,317.0
18,317.0,171.0,56.0,31.0,22.0,52.0,71.0,340.0,323.36206000000004,301.63794,280.0,315.0,319.0
19,319.0,317.0,171.0,56.0,31.0,22.0,52.0,71.0,340.0,323.36206000000004,301.63794,280.0,272.0
20,272.0,319.0,317.0,171.0,56.0,31.0,22.0,52.0,71.0,340.0,323.36206000000004,301.63794,272.0
21,272.0,272.0,319.0,317.0,171.0,56.0,31.0,22.0,52.0,71.0,340.0,323.36206000000004,335.0
22,335.0,272.0,272.0,319.0,317.0,171.0,56.0,31.0,22.0,52.0,71.0,340.0,328.0
23,328.0,335.0,272.0,272.0,319.0,317.0,171.0,56.0,31.0,22.0,52.0,71.0,32.0
24,32.0,328.0,335.0,272.0,272.0,319.0,317.0,171.0,56.0,31.0,22.0,52.0,20.0
25,20.0,32.0,328.0,335.0,272.0,272.0,319.0,317.0,171.0,56.0,31.0,22.0,6.0
26,6.0,20.0,32.0,328.0,335.0,272.0,272.0,319.0,317.0,171.0,56.0,31.0,8.0
27,8.0,6.0,20.0,32.0,328.0,335.0,272.0,272.0,319.0,317.0,171.0,56.0,39.0
28,39.0,8.0,6.0,20.0,32.0,328.0,335.0,272.0,272.0,319.0,317.0,171.0,120.0
29,120.0,39.0,8.0,6.0,20.0,32.0,328.0,335.0,272.0,272.0,319.0,317.0,255.0
30,255.0,120.0,39.0,8.0,6.0,20.0,32.0,328.0,335.0,272.0,272.0,319.0,326.0
31,326.0,255.0,120.0,39.0,8.0,6.0,20.0,32.0,328.0,335.0,272.0,272.0,334.0
32,334.0,326.0,255.0,120.0,39.0,8.0,6.0,20.0,32.0,328.0,335.0,272.0,364.0
33,364.0,334.0,326.0,255.0,120.0,39.0,8.0,6.0,20.0,32.0,328.0,335.0,408.0
34,408.0,364.0,334.0,326.0,255.0,120.0,39.0,8.0,6.0,20.0,32.0,328.0,428.0
35,428.0,408.0,364.0,334.0,326.0,255.0,120.0,39.0,8.0,6.0,20.0,32.0,20.0
36,20.0,428.0,408.0,364.0,334.0,326.0,255.0,120.0,39.0,8.0,6.0,20.0,9.0
37,9.0,20.0,428.0,408.0,364.0,334.0,326.0,255.0,120.0,39.0,8.0,6.0,10.0
38,10.0,9.0,20.0,428.0,408.0,364.0,334.0,326.0,255.0,120.0,39.0,8.0,12.0
39,12.0,10.0,9.0,20.0,428.0,408.0,364.0,334.0,326.0,255.0,120.0,39.0,14.0
40,14.0,12.0,10.0,9.0,20.0,428.0,408.0,364.0,334.0,326.0,255.0,120.0,39.0
41,39.0,14.0,12.0,10.0,9.0,20.0,428.0,408.0,364.0,334.0,326.0,255.0,192.0
