,0,1,2,3,4,5,6,7,8,9,10,11,12
0,227.0,226.0,177.0,202.0,564.0,418.0,280.0,298.0,125.0,12.0,7.0,10.0,222.0
1,222.0,227.0,226.0,177.0,202.0,564.0,418.0,280.0,298.0,125.0,12.0,7.0,158.0
2,158.0,222.0,227.0,226.0,177.0,202.0,564.0,418.0,280.0,298.0,125.0,12.0,173.0
3,173.0,158.0,222.0,227.0,226.0,177.0,202.0,564.0,418.0,280.0,298.0,125.0,176.0
4,176.0,173.0,158.0,222.0,227.0,226.0,177.0,202.0,564.0,418.0,280.0,298.0,208.0
5,208.0,176.0,173.0,158.0,222.0,227.0,226.0,177.0,202.0,564.0,418.0,280.0,275.0
6,275.0,208.0,176.0,173.0,158.0,222.0,227.0,226.0,177.0,202.0,564.0,418.0,378.0
7,378.0,275.0,208.0,176.0,173.0,158.0,222.0,227.0,226.0,177.0,202.0,564.0,410.0
8,410.0,378.0,275.0,208.0,176.0,173.0,158.0,222.0,227.0,226.0,177.0,202.0,225.0
9,225.0,410.0,378.0,275.0,208.0,176.0,173.0,158.0,222.0,227.0,226.0,177.0,241.0
10,241.0,225.0,410.0,378.0,275.0,208.0,176.0,173.0,158.0,222.0,227.0,226.0,32.0
11,32.0,241.0,225.0,410.0,378.0,275.0,208.0,176.0,173.0,158.0,222.0,227.0,202.0
12,202.0,32.0,241.0,225.0,410.0,378.0,275.0,208.0,176.0,173.0,158.0,222.0,10.0
13,10.0,202.0,32.0,241.0,225.0,410.0,378.0,275.0,208.0,176.0,173.0,158.0,50.0
14,50.0,10.0,202.0,32.0,241.0,225.0,410.0,378.0,275.0,208.0,176.0,173.0,135.0
15,135.0,50.0,10.0,202.0,32.0,241.0,225.0,410.0,378.0,275.0,208.0,176.0,29.0
16,29.0,135.0,50.0,10.0,202.0,32.0,241.0,225.0,410.0,378.0,275.0,208.0,24.0
17,24.0,29.0,135.0,50.0,10.0,202.0,32.0,241.0,225.0,410.0,378.0,275.0,78.0
18,78.0,24.0,29.0,135.0,50.0,10.0,202.0,32.0,241.0,225.0,410.0,378.0,113.0
19,113.0,78.0,24.0,29.0,135.0,50.0,10.0,202.0,32.0,241.0,225.0,410.0,250.0
20,250.0,113.0,78.0,24.0,29.0,135.0,50.0,10.0,202.0,32.0,241.0,225.0,209.0
21,209.0,250.0,113.0,78.0,24.0,29.0,135.0,50.0,10.0,202.0,32.0,241.0,304.0
22,304.0,209.0,250.0,113.0,78.0,24.0,29.0,135.0,50.0,10.0,202.0,32.0,327.0
23,327.0,304.0,209.0,250.0,113.0,78.0,24.0,29.0,135.0,50.0,10.0,202.0,567.0
24,567.0,327.0,304.0,209.0,250.0,113.0,78.0,24.0,29.0,135.0,50.0,10.0,553.0
