,Unnamed: 0,0,1,2,3,4,5,6,7,8,9,10,11,12
0,0,435.0,382.0,362.0,400.0,848.0,932.0,559.0,404.0,392.0,420.0,303.70588,332.0974,398.0
1,1,398.0,435.0,382.0,362.0,400.0,848.0,932.0,559.0,404.0,392.0,420.0,303.70588,432.0
2,2,432.0,398.0,435.0,382.0,362.0,400.0,848.0,932.0,559.0,404.0,392.0,420.0,586.0
3,3,586.0,432.0,398.0,435.0,382.0,362.0,400.0,848.0,932.0,559.0,404.0,392.0,406.0
4,4,406.0,586.0,432.0,398.0,435.0,382.0,362.0,400.0,848.0,932.0,559.0,404.0,388.0
5,5,388.0,406.0,586.0,432.0,398.0,435.0,382.0,362.0,400.0,848.0,932.0,559.0,546.0
6,6,546.0,388.0,406.0,586.0,432.0,398.0,435.0,382.0,362.0,400.0,848.0,932.0,765.0
7,7,765.0,546.0,388.0,406.0,586.0,432.0,398.0,435.0,382.0,362.0,400.0,848.0,860.0
8,8,860.0,765.0,546.0,388.0,406.0,586.0,432.0,398.0,435.0,382.0,362.0,400.0,751.0
9,9,751.0,860.0,765.0,546.0,388.0,406.0,586.0,432.0,398.0,435.0,382.0,362.0,441.0
10,10,441.0,751.0,860.0,765.0,546.0,388.0,406.0,586.0,432.0,398.0,435.0,382.0,411.0
11,11,411.0,441.0,751.0,860.0,765.0,546.0,388.0,406.0,586.0,432.0,398.0,435.0,359.0
12,12,359.0,411.0,441.0,751.0,860.0,765.0,546.0,388.0,406.0,586.0,432.0,398.0,279.0
13,13,279.0,359.0,411.0,441.0,751.0,860.0,765.0,546.0,388.0,406.0,586.0,432.0,171.0
14,14,171.0,279.0,359.0,411.0,441.0,751.0,860.0,765.0,546.0,388.0,406.0,586.0,165.0
15,15,165.0,171.0,279.0,359.0,411.0,441.0,751.0,860.0,765.0,546.0,388.0,406.0,158.0
16,16,158.0,165.0,171.0,279.0,359.0,411.0,441.0,751.0,860.0,765.0,546.0,388.0,390.0
17,17,390.0,158.0,165.0,171.0,279.0,359.0,411.0,441.0,751.0,860.0,765.0,546.0,427.0
18,18,427.0,390.0,158.0,165.0,171.0,279.0,359.0,411.0,441.0,751.0,860.0,765.0,583.0
19,19,583.0,427.0,390.0,158.0,165.0,171.0,279.0,359.0,411.0,441.0,751.0,860.0,811.0
20,20,811.0,583.0,427.0,390.0,158.0,165.0,171.0,279.0,359.0,411.0,441.0,751.0,597.0
21,21,597.0,811.0,583.0,427.0,390.0,158.0,165.0,171.0,279.0,359.0,411.0,441.0,358.0
22,22,358.0,597.0,811.0,583.0,427.0,390.0,158.0,165.0,171.0,279.0,359.0,411.0,277.0
23,23,277.0,358.0,597.0,811.0,583.0,427.0,390.0,158.0,165.0,171.0,279.0,359.0,357.0
24,24,357.0,277.0,358.0,597.0,811.0,583.0,427.0,390.0,158.0,165.0,171.0,279.0,299.0
25,25,299.0,357.0,277.0,358.0,597.0,811.0,583.0,427.0,390.0,158.0,165.0,171.0,200.0
26,26,200.0,299.0,357.0,277.0,358.0,597.0,811.0,583.0,427.0,390.0,158.0,165.0,64.0
27,27,64.0,200.0,299.0,357.0,277.0,358.0,597.0,811.0,583.0,427.0,390.0,158.0,87.0
28,28,87.0,64.0,200.0,299.0,357.0,277.0,358.0,597.0,811.0,583.0,427.0,390.0,277.0
29,29,277.0,87.0,64.0,200.0,299.0,357.0,277.0,358.0,597.0,811.0,583.0,427.0,379.0
30,30,379.0,277.0,87.0,64.0,200.0,299.0,357.0,277.0,358.0,597.0,811.0,583.0,559.0
31,31,559.0,379.0,277.0,87.0,64.0,200.0,299.0,357.0,277.0,358.0,597.0,811.0,497.0
32,32,497.0,559.0,379.0,277.0,87.0,64.0,200.0,299.0,357.0,277.0,358.0,597.0,278.0
33,33,278.0,497.0,559.0,379.0,277.0,87.0,64.0,200.0,299.0,357.0,277.0,358.0,74.0
34,34,74.0,278.0,497.0,559.0,379.0,277.0,87.0,64.0,200.0,299.0,357.0,277.0,51.0
35,35,51.0,74.0,278.0,497.0,559.0,379.0,277.0,87.0,64.0,200.0,299.0,357.0,67.0
36,36,67.0,51.0,74.0,278.0,497.0,559.0,379.0,277.0,87.0,64.0,200.0,299.0,78.0
37,37,78.0,67.0,51.0,74.0,278.0,497.0,559.0,379.0,277.0,87.0,64.0,200.0,45.0
38,38,45.0,78.0,67.0,51.0,74.0,278.0,497.0,559.0,379.0,277.0,87.0,64.0,55.0
39,39,55.0,45.0,78.0,67.0,51.0,74.0,278.0,497.0,559.0,379.0,277.0,87.0,58.0
40,40,58.0,55.0,45.0,78.0,67.0,51.0,74.0,278.0,497.0,559.0,379.0,277.0,178.0
41,41,178.0,58.0,55.0,45.0,78.0,67.0,51.0,74.0,278.0,497.0,559.0,379.0,232.0
42,42,232.0,178.0,58.0,55.0,45.0,78.0,67.0,51.0,74.0,278.0,497.0,559.0,298.0
43,43,298.0,232.0,178.0,58.0,55.0,45.0,78.0,67.0,51.0,74.0,278.0,497.0,515.0
44,44,515.0,298.0,232.0,178.0,58.0,55.0,45.0,78.0,67.0,51.0,74.0,278.0,61.0
45,45,61.0,515.0,298.0,232.0,178.0,58.0,55.0,45.0,78.0,67.0,51.0,74.0,54.0
46,46,54.0,61.0,515.0,298.0,232.0,178.0,58.0,55.0,45.0,78.0,67.0,51.0,48.0
47,47,48.0,54.0,61.0,515.0,298.0,232.0,178.0,58.0,55.0,45.0,78.0,67.0,61.0
48,48,61.0,48.0,54.0,61.0,515.0,298.0,232.0,178.0,58.0,55.0,45.0,78.0,61.0
49,49,61.0,61.0,48.0,54.0,61.0,515.0,298.0,232.0,178.0,58.0,55.0,45.0,50.0
50,50,50.0,61.0,61.0,48.0,54.0,61.0,515.0,298.0,232.0,178.0,58.0,55.0,46.0
51,51,46.0,50.0,61.0,61.0,48.0,54.0,61.0,515.0,298.0,232.0,178.0,58.0,42.0
52,52,42.0,46.0,50.0,61.0,61.0,48.0,54.0,61.0,515.0,298.0,232.0,178.0,47.0
53,53,47.0,42.0,46.0,50.0,61.0,61.0,48.0,54.0,61.0,515.0,298.0,232.0,147.0
54,54,147.0,47.0,42.0,46.0,50.0,61.0,61.0,48.0,54.0,61.0,515.0,298.0,363.0
55,55,363.0,147.0,47.0,42.0,46.0,50.0,61.0,61.0,48.0,54.0,61.0,515.0,312.0
56,56,312.0,363.0,147.0,47.0,42.0,46.0,50.0,61.0,61.0,48.0,54.0,61.0,116.0
57,57,116.0,312.0,363.0,147.0,47.0,42.0,46.0,50.0,61.0,61.0,48.0,54.0,47.0
58,58,47.0,116.0,312.0,363.0,147.0,47.0,42.0,46.0,50.0,61.0,61.0,48.0,45.0
59,59,45.0,47.0,116.0,312.0,363.0,147.0,47.0,42.0,46.0,50.0,61.0,61.0,57.0
60,60,57.0,45.0,47.0,116.0,312.0,363.0,147.0,47.0,42.0,46.0,50.0,61.0,51.0
61,61,51.0,57.0,45.0,47.0,116.0,312.0,363.0,147.0,47.0,42.0,46.0,50.0,46.0
62,62,46.0,51.0,57.0,45.0,47.0,116.0,312.0,363.0,147.0,47.0,42.0,46.0,51.0
63,63,51.0,46.0,51.0,57.0,45.0,47.0,116.0,312.0,363.0,147.0,47.0,42.0,60.0
64,64,60.0,51.0,46.0,51.0,57.0,45.0,47.0,116.0,312.0,363.0,147.0,47.0,80.0
65,65,80.0,60.0,51.0,46.0,51.0,57.0,45.0,47.0,116.0,312.0,363.0,147.0,208.0
66,66,208.0,80.0,60.0,51.0,46.0,51.0,57.0,45.0,47.0,116.0,312.0,363.0,415.0
67,67,415.0,208.0,80.0,60.0,51.0,46.0,51.0,57.0,45.0,47.0,116.0,312.0,215.0
68,68,215.0,415.0,208.0,80.0,60.0,51.0,46.0,51.0,57.0,45.0,47.0,116.0,67.0
69,69,67.0,215.0,415.0,208.0,80.0,60.0,51.0,46.0,51.0,57.0,45.0,47.0,68.0
70,70,68.0,67.0,215.0,415.0,208.0,80.0,60.0,51.0,46.0,51.0,57.0,45.0,73.0
71,71,73.0,68.0,67.0,215.0,415.0,208.0,80.0,60.0,51.0,46.0,51.0,57.0,76.0
